reading_id,machine_id,machine_name,department,install_year,age_years,reading_date,pressure_bar,temperature_c,vibration_mm_s,oil_viscosity,cycle_count,maintenance_score,failure_occurred,priority
RD-20022,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-04-12,97.76,56.26,6.074,56.56,67104,29,False,LOW
RD-20023,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-05-07,135.47,41.5,1.353,45.39,51908,16,False,LOW
RD-20024,MCH-005,Quality Test Bench,QA,2017,7,2024-04-04,152.35,59.99,3.631,43.31,47787,28,True,LOW
RD-20025,MCH-006,Packaging Unit B,Logistics,2016,8,2023-12-17,116.32,70.52,3.658,44.98,49968,32,False,LOW
RD-20026,MCH-007,Hydraulic Press #2,Production,2014,10,2024-12-17,123.6,88.68,6.594,49.34,45748,53,True,MEDIUM
RD-20027,MCH-008,Welding Station Alpha,Production,2021,3,2024-04-28,122.68,72.53,3.657,45.9,63136,12,True,LOW
RD-20028,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-02-21,72.24,81.38,2.371,48.72,94772,49,False,MEDIUM
RD-20029,MCH-010,Conveyor System Main,Logistics,2016,8,2023-12-23,85.33,64.76,4.701,52.32,149289,39,True,LOW
RD-20030,MCH-001,Pipe Bending Line A,Production,2018,6,2023-09-15,121.99,63.96,0.505,37.31,26043,24,False,LOW
RD-20031,MCH-002,Hydraulic Press #1,Production,2015,9,2023-12-17,128.97,85.73,3.824,55.37,91016,36,False,LOW
RD-20032,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-02-06,124.99,35.95,3.095,44.56,53398,20,True,LOW
RD-20033,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-03-31,135.38,78.51,3.704,48.02,88846,16,False,LOW
RD-20034,MCH-005,Quality Test Bench,QA,2017,7,2024-07-29,178.99,68.28,0.079,59.28,24261,28,False,LOW
RD-20035,MCH-006,Packaging Unit B,Logistics,2016,8,2023-09-01,118.45,85.15,5.772,52.77,25176,38,False,LOW
RD-20036,MCH-007,Hydraulic Press #2,Production,2014,10,2024-05-27,136.23,74.28,4.202,56.02,189360,36,False,LOW
RD-20037,MCH-008,Welding Station Alpha,Production,2021,3,2024-11-30,144.34,40.95,7.194,35.42,12738,29,False,LOW
RD-20038,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-01-17,116.48,94.32,0.326,48.24,26844,47,False,MEDIUM
RD-20039,MCH-010,Conveyor System Main,Logistics,2016,8,2023-04-28,106.7,80.43,3.319,46.76,63660,32,True,LOW
RD-20040,MCH-001,Pipe Bending Line A,Production,2018,6,2023-07-18,126.03,90.85,2.064,39.57,80352,31,True,LOW
RD-20041,MCH-002,Hydraulic Press #1,Production,2015,9,2023-12-08,87.85,64.45,2.1,53.27,179700,42,True,MEDIUM
RD-20042,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-12-06,132.89,65.87,3.114,45.33,85912,20,False,LOW
RD-20043,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-01-01,158.78,82.28,3.786,39.41,59610,16,False,LOW
RD-20044,MCH-005,Quality Test Bench,QA,2017,7,2024-02-14,104.23,52.89,3.768,50.61,54786,28,False,LOW
RD-20045,MCH-006,Packaging Unit B,Logistics,2016,8,2023-07-12,135.91,66.59,4.948,39.87,77016,32,False,LOW
RD-20046,MCH-007,Hydraulic Press #2,Production,2014,10,2024-08-05,143.73,67.68,5.311,58.05,113536,38,False,LOW
RD-20047,MCH-008,Welding Station Alpha,Production,2021,3,2024-10-12,119.53,58.15,6.33,36.71,26062,22,False,LOW
RD-20048,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-04-14,143.95,79.05,3.068,55.31,31232,36,False,LOW
RD-20049,MCH-010,Conveyor System Main,Logistics,2016,8,2023-02-11,146.19,113.52,0.781,49.48,78831,66,True,MEDIUM
RD-20050,MCH-001,Pipe Bending Line A,Production,2018,6,2024-06-14,146.6,58.69,3.228,41.89,42957,24,False,LOW
RD-20051,MCH-002,Hydraulic Press #1,Production,2015,9,2024-11-19,132.85,98.21,1.84,55.15,108580,51,False,MEDIUM
RD-20052,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-08-28,108.16,103.34,2.166,41.58,56602,42,False,MEDIUM
RD-20053,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-07-08,134.8,85.02,5.204,46.03,84644,17,False,LOW
RD-20054,MCH-005,Quality Test Bench,QA,2017,7,2024-04-14,145.28,64.03,6.187,41.93,101622,37,False,LOW
RD-20055,MCH-006,Packaging Unit B,Logistics,2016,8,2023-04-16,97.04,43.07,6.926,40.24,53079,48,False,MEDIUM
RD-20056,MCH-007,Hydraulic Press #2,Production,2014,10,2023-03-11,135.9,75.73,8.632,54.87,149144,65,True,MEDIUM
RD-20057,MCH-008,Welding Station Alpha,Production,2021,3,2024-09-11,126.64,48.17,2.237,52.73,23636,12,False,LOW
RD-20058,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-03-14,142.57,78.58,0.637,51.51,175524,36,True,LOW
RD-20059,MCH-010,Conveyor System Main,Logistics,2016,8,2023-11-03,121.4,110.44,3.728,55.67,49170,62,True,MEDIUM
RD-20060,MCH-001,Pipe Bending Line A,Production,2018,6,2024-05-29,121.21,84.1,1.265,55.66,105666,24,False,LOW
RD-20061,MCH-002,Hydraulic Press #1,Production,2015,9,2023-12-26,146.29,73.37,1.402,42.62,128860,36,False,LOW
RD-20062,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-01-21,143.17,74.65,3.234,39.4,54436,20,True,LOW
RD-20063,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-02-05,127.8,93.46,3.21,48.68,69312,26,False,LOW
RD-20064,MCH-005,Quality Test Bench,QA,2017,7,2024-12-14,70.37,82.59,3.952,41.18,24618,42,True,MEDIUM
RD-20065,MCH-006,Packaging Unit B,Logistics,2016,8,2024-06-05,99.92,90.25,2.573,55.54,60735,38,False,LOW
RD-20066,MCH-007,Hydraulic Press #2,Production,2014,10,2024-05-13,161.94,36.45,0.514,42.23,44456,36,False,LOW
RD-20067,MCH-008,Welding Station Alpha,Production,2021,3,2024-06-14,97.59,84.78,1.855,51.4,18152,13,False,LOW
RD-20068,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-10-31,118.42,98.51,2.176,48.59,95044,52,True,MEDIUM
RD-20069,MCH-010,Conveyor System Main,Logistics,2016,8,2023-03-12,123.48,38.72,7.288,49.4,81393,50,False,MEDIUM
RD-20070,MCH-001,Pipe Bending Line A,Production,2018,6,2023-01-05,129.17,58.11,2.864,36.55,125421,24,False,LOW
RD-20071,MCH-002,Hydraulic Press #1,Production,2015,9,2024-04-10,136.08,118.33,1.928,64.48,129172,75,False,HIGH
RD-20072,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-01-31,130.92,67.55,7.254,33.65,84468,38,True,LOW
RD-20073,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-04-12,96.63,66.75,2.787,55.67,97052,17,True,LOW
RD-20074,MCH-005,Quality Test Bench,QA,2017,7,2023-08-08,118.64,95.25,3.792,45.67,29352,40,False,MEDIUM
RD-20075,MCH-006,Packaging Unit B,Logistics,2016,8,2023-01-11,131.71,63.66,8.028,39.68,80193,56,False,MEDIUM
RD-20076,MCH-007,Hydraulic Press #2,Production,2014,10,2023-08-31,130.83,80.33,2.929,51.75,144028,36,True,LOW
RD-20077,MCH-008,Welding Station Alpha,Production,2021,3,2024-11-08,100.4,83.09,4.513,45.15,51892,12,False,LOW
RD-20078,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-02-24,111.46,106.64,3.705,47.09,162956,61,False,MEDIUM
RD-20079,MCH-010,Conveyor System Main,Logistics,2016,8,2024-02-24,138.32,105.62,2.59,53.05,76335,56,False,MEDIUM
RD-20080,MCH-001,Pipe Bending Line A,Production,2018,6,2023-07-03,128.08,88.42,6.19,57.62,98736,37,False,LOW
RD-20081,MCH-002,Hydraulic Press #1,Production,2015,9,2024-09-08,131.99,87.63,3.848,60.14,36360,39,False,LOW
RD-20082,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-08-26,127.83,123.83,4.032,35.52,58146,66,False,MEDIUM
RD-20083,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-08-01,116.25,70.28,2.97,52.29,92892,16,False,LOW
RD-20084,MCH-005,Quality Test Bench,QA,2017,7,2023-09-04,89.38,76.74,2.087,47.64,88542,33,False,LOW
RD-20085,MCH-006,Packaging Unit B,Logistics,2016,8,2023-05-10,117.22,97.38,4.269,41.57,38553,46,True,MEDIUM
RD-20086,MCH-007,Hydraulic Press #2,Production,2014,10,2023-10-22,118.93,69.96,5.826,34.11,78028,42,False,MEDIUM
RD-20087,MCH-008,Welding Station Alpha,Production,2021,3,2023-06-15,151.4,84.56,3.869,48.54,60764,12,False,LOW
RD-20088,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-11-07,86.23,42.24,4.614,38.43,58844,42,False,MEDIUM
RD-20089,MCH-010,Conveyor System Main,Logistics,2016,8,2024-01-17,134.82,77.7,4.965,39.44,71346,32,False,LOW
RD-20090,MCH-001,Pipe Bending Line A,Production,2018,6,2023-12-14,125.83,80.38,3.168,43.21,25563,24,False,LOW
RD-20091,MCH-002,Hydraulic Press #1,Production,2015,9,2023-10-04,114.41,88.96,3.295,44.67,168612,40,False,MEDIUM
RD-20092,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-12-11,124.14,71.17,6.752,35.62,25850,34,False,LOW
RD-20093,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-05-02,113.33,78.64,4.989,53.0,73244,16,False,LOW
RD-20094,MCH-005,Quality Test Bench,QA,2017,7,2023-09-10,87.7,72.37,5.008,46.36,136671,34,False,LOW
RD-20095,MCH-006,Packaging Unit B,Logistics,2016,8,2024-12-02,125.65,73.59,1.13,32.04,53097,32,False,LOW
RD-20096,MCH-007,Hydraulic Press #2,Production,2014,10,2023-12-19,53.67,106.09,0.178,43.54,104572,84,False,HIGH
RD-20097,MCH-008,Welding Station Alpha,Production,2021,3,2024-02-04,113.25,97.59,2.082,50.07,22900,27,False,LOW
RD-20098,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-03-10,111.76,96.93,6.972,44.53,99188,66,False,MEDIUM
RD-20099,MCH-010,Conveyor System Main,Logistics,2016,8,2023-11-27,147.22,53.57,0.129,47.85,126363,32,False,LOW
RD-20100,MCH-001,Pipe Bending Line A,Production,2018,6,2023-03-31,134.27,63.07,1.575,42.86,119511,24,False,LOW
RD-20101,MCH-002,Hydraulic Press #1,Production,2015,9,2024-09-08,121.52,69.7,0.024,30.39,183004,36,False,LOW
RD-20102,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-03-28,145.12,94.0,1.705,37.92,56422,30,True,LOW
RD-20103,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-07-21,127.6,44.39,1.766,45.8,92460,16,False,LOW
RD-20104,MCH-005,Quality Test Bench,QA,2017,7,2023-07-02,123.17,80.82,3.721,51.35,126390,28,False,LOW
RD-20105,MCH-006,Packaging Unit B,Logistics,2016,8,2023-07-20,160.56,90.88,0.059,53.78,57987,39,False,LOW
RD-20106,MCH-007,Hydraulic Press #2,Production,2014,10,2023-10-31,124.03,63.51,4.371,34.74,162288,36,False,LOW
RD-20107,MCH-008,Welding Station Alpha,Production,2021,3,2024-11-20,122.17,47.38,5.578,48.71,58128,16,False,LOW
RD-20108,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-03-05,119.45,71.53,1.89,43.04,38028,36,False,LOW
RD-20109,MCH-010,Conveyor System Main,Logistics,2016,8,2024-01-31,142.29,98.28,2.321,33.2,129195,47,False,MEDIUM
RD-20110,MCH-001,Pipe Bending Line A,Production,2018,6,2023-08-11,107.95,46.67,3.463,38.94,36666,24,False,LOW
RD-20111,MCH-002,Hydraulic Press #1,Production,2015,9,2024-11-15,89.64,106.24,6.524,34.91,44296,78,False,HIGH
RD-20112,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-11-03,182.99,92.69,3.269,53.37,80596,29,True,LOW
RD-20113,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-07-27,118.53,76.33,0.913,43.98,43272,16,False,LOW
RD-20114,MCH-005,Quality Test Bench,QA,2017,7,2024-09-20,91.55,50.61,3.957,54.98,51810,32,False,LOW
RD-20115,MCH-006,Packaging Unit B,Logistics,2016,8,2024-12-21,113.36,87.44,5.815,43.89,133476,41,True,MEDIUM
RD-20116,MCH-007,Hydraulic Press #2,Production,2014,10,2024-06-03,141.09,45.35,8.531,42.08,106632,64,True,MEDIUM
RD-20117,MCH-008,Welding Station Alpha,Production,2021,3,2024-09-04,117.9,78.08,1.742,46.99,63996,12,True,LOW
RD-20118,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-06-02,100.96,91.76,1.287,29.23,179176,44,False,MEDIUM
RD-20119,MCH-010,Conveyor System Main,Logistics,2016,8,2023-08-01,84.81,72.46,2.26,51.21,69522,39,False,LOW
RD-20120,MCH-001,Pipe Bending Line A,Production,2018,6,2024-10-08,96.51,85.8,0.257,43.78,97563,26,False,LOW
RD-20121,MCH-002,Hydraulic Press #1,Production,2015,9,2023-08-31,111.21,78.39,3.567,37.51,168584,36,False,LOW
RD-20122,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-10-19,137.45,94.64,4.257,39.64,40338,31,False,LOW
RD-20123,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-01-31,117.24,80.28,1.524,45.03,98218,16,True,LOW
RD-20124,MCH-005,Quality Test Bench,QA,2017,7,2024-11-08,115.62,78.25,4.365,50.37,146025,28,False,LOW
RD-20125,MCH-006,Packaging Unit B,Logistics,2016,8,2024-10-09,126.89,54.1,4.412,47.56,54195,32,True,LOW
RD-20126,MCH-007,Hydraulic Press #2,Production,2014,10,2024-06-11,111.99,92.4,2.681,43.42,74484,44,False,MEDIUM
RD-20127,MCH-008,Welding Station Alpha,Production,2021,3,2024-03-01,143.28,81.08,3.746,47.42,98690,12,False,LOW
RD-20128,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-08-16,122.85,58.75,1.679,42.44,43068,36,False,LOW
RD-20129,MCH-010,Conveyor System Main,Logistics,2016,8,2023-10-25,95.23,71.43,1.18,41.0,149118,34,False,LOW
RD-20130,MCH-001,Pipe Bending Line A,Production,2018,6,2024-09-19,113.57,91.26,1.165,34.75,127959,31,False,LOW
RD-20131,MCH-002,Hydraulic Press #1,Production,2015,9,2024-07-18,87.93,54.35,0.439,63.38,164504,42,False,MEDIUM
RD-20132,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-04-02,143.34,100.42,1.993,51.61,59948,38,False,LOW
RD-20133,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-05-28,139.1,72.95,3.361,48.86,92256,16,False,LOW
RD-20134,MCH-005,Quality Test Bench,QA,2017,7,2023-05-23,91.9,81.59,4.016,66.97,85521,32,False,LOW
RD-20135,MCH-006,Packaging Unit B,Logistics,2016,8,2023-08-18,80.89,61.48,2.955,51.46,26553,41,False,MEDIUM
RD-20136,MCH-007,Hydraulic Press #2,Production,2014,10,2023-12-01,101.14,91.29,9.005,41.65,186360,75,False,HIGH
RD-20137,MCH-008,Welding Station Alpha,Production,2021,3,2024-12-01,95.04,73.39,3.81,46.28,24242,14,False,LOW
RD-20138,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-09-03,115.61,93.42,5.576,43.51,129416,50,True,MEDIUM
RD-20139,MCH-010,Conveyor System Main,Logistics,2016,8,2024-01-24,113.06,47.69,7.079,45.5,37596,48,False,MEDIUM
RD-20140,MCH-001,Pipe Bending Line A,Production,2018,6,2023-03-20,115.4,79.08,2.853,46.51,26052,24,False,LOW
RD-20141,MCH-002,Hydraulic Press #1,Production,2015,9,2024-08-02,89.53,62.72,11.094,35.22,134560,89,True,HIGH
RD-20142,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-10-11,100.97,49.41,4.193,44.87,26616,20,False,LOW
RD-20143,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-06-05,128.67,69.42,1.707,49.78,56808,16,False,LOW
RD-20144,MCH-005,Quality Test Bench,QA,2017,7,2023-06-05,140.31,65.84,0.654,57.62,143199,28,True,LOW
RD-20145,MCH-006,Packaging Unit B,Logistics,2016,8,2023-02-25,112.28,53.75,0.516,32.19,43164,32,False,LOW
RD-20146,MCH-007,Hydraulic Press #2,Production,2014,10,2024-05-20,116.6,80.8,7.627,42.52,90180,57,False,MEDIUM
RD-20147,MCH-008,Welding Station Alpha,Production,2021,3,2024-06-25,117.64,66.68,4.755,43.85,95750,12,False,LOW
RD-20148,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-10-30,149.19,77.99,0.289,35.43,137416,36,True,LOW
RD-20149,MCH-010,Conveyor System Main,Logistics,2016,8,2023-07-13,112.15,93.8,5.553,57.3,116298,46,False,MEDIUM
RD-20150,MCH-001,Pipe Bending Line A,Production,2018,6,2023-10-12,135.94,82.53,7.178,49.11,28566,41,False,MEDIUM
RD-20151,MCH-002,Hydraulic Press #1,Production,2015,9,2024-06-10,105.01,97.64,1.562,35.6,124876,51,False,MEDIUM
RD-20152,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-04-12,103.83,94.58,1.447,45.21,57126,31,False,LOW
RD-20153,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-03-09,110.94,76.79,6.938,49.55,73504,31,False,LOW
RD-20154,MCH-005,Quality Test Bench,QA,2017,7,2024-09-15,146.85,110.44,4.135,48.14,76653,58,False,MEDIUM
RD-20155,MCH-006,Packaging Unit B,Logistics,2016,8,2023-05-29,84.97,65.22,2.959,54.61,138774,39,True,LOW
RD-20156,MCH-007,Hydraulic Press #2,Production,2014,10,2024-05-06,122.49,73.4,3.776,57.9,151224,36,True,LOW
RD-20157,MCH-008,Welding Station Alpha,Production,2021,3,2024-02-17,124.4,83.17,3.424,46.21,28610,12,False,LOW
RD-20158,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-12-17,121.72,107.86,1.209,35.81,54800,63,False,MEDIUM
RD-20159,MCH-010,Conveyor System Main,Logistics,2016,8,2024-10-25,132.85,75.63,2.858,29.54,105828,32,False,LOW
RD-20160,MCH-001,Pipe Bending Line A,Production,2018,6,2024-05-30,105.46,67.19,0.984,52.42,110004,24,False,LOW
RD-20161,MCH-002,Hydraulic Press #1,Production,2015,9,2024-12-13,150.18,64.76,0.42,42.06,139816,36,True,LOW
RD-20162,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-01-25,124.63,78.98,2.309,54.22,87994,20,False,LOW
RD-20163,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-11-16,103.88,50.5,1.358,52.83,77904,16,False,LOW
RD-20164,MCH-005,Quality Test Bench,QA,2017,7,2024-02-24,130.1,98.09,0.06,64.1,105483,43,False,MEDIUM
RD-20165,MCH-006,Packaging Unit B,Logistics,2016,8,2024-11-06,170.5,50.89,2.386,44.31,129405,32,False,LOW
RD-20166,MCH-007,Hydraulic Press #2,Production,2014,10,2023-01-01,144.94,89.47,3.557,57.39,109012,41,False,MEDIUM
RD-20167,MCH-008,Welding Station Alpha,Production,2021,3,2024-09-14,129.45,41.44,1.385,52.08,61824,12,False,LOW
RD-20168,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2023-08-26,135.39,75.03,2.279,58.98,63328,36,False,LOW
RD-20169,MCH-010,Conveyor System Main,Logistics,2016,8,2024-01-08,109.68,96.71,6.225,46.78,123459,55,False,MEDIUM
RD-20170,MCH-001,Pipe Bending Line A,Production,2018,6,2024-01-15,140.33,43.32,4.722,52.67,82344,24,False,LOW
RD-20171,MCH-002,Hydraulic Press #1,Production,2015,9,2023-09-14,90.93,69.04,4.094,37.69,153472,40,True,MEDIUM
RD-20172,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-02-22,120.31,49.37,1.97,45.6,36672,20,True,LOW
RD-20173,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-12-02,95.42,88.7,6.437,48.52,33590,34,False,LOW
RD-20174,MCH-005,Quality Test Bench,QA,2017,7,2023-01-29,137.2,73.85,3.465,37.37,93783,28,False,LOW
RD-20175,MCH-006,Packaging Unit B,Logistics,2016,8,2024-08-21,128.82,56.76,7.223,32.26,85185,49,True,MEDIUM
RD-20176,MCH-007,Hydraulic Press #2,Production,2014,10,2023-06-05,100.64,107.2,2.195,34.69,55032,62,True,MEDIUM
RD-20177,MCH-008,Welding Station Alpha,Production,2021,3,2023-04-27,104.95,59.22,8.483,44.44,54578,39,False,LOW
RD-20178,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-11-23,134.67,60.28,0.701,51.79,192752,36,False,LOW
RD-20179,MCH-010,Conveyor System Main,Logistics,2016,8,2023-01-21,105.65,90.54,3.293,52.28,82377,38,False,LOW
RD-20180,MCH-001,Pipe Bending Line A,Production,2018,6,2023-09-14,127.13,85.25,3.316,42.28,23412,24,False,LOW
RD-20181,MCH-002,Hydraulic Press #1,Production,2015,9,2024-03-30,105.22,70.24,3.58,51.89,46024,36,False,LOW
RD-20182,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-02-20,104.49,107.95,6.277,52.93,90180,57,True,MEDIUM
RD-20183,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-12-29,105.56,64.21,3.76,38.98,23106,16,False,LOW
RD-20184,MCH-005,Quality Test Bench,QA,2017,7,2023-01-23,131.76,43.88,6.087,53.31,67008,36,True,LOW
RD-20185,MCH-006,Packaging Unit B,Logistics,2016,8,2023-04-18,125.06,94.0,8.886,38.19,82140,73,False,HIGH
RD-20186,MCH-007,Hydraulic Press #2,Production,2014,10,2023-12-22,145.88,73.34,3.111,32.79,192608,36,True,LOW
RD-20187,MCH-008,Welding Station Alpha,Production,2021,3,2023-12-16,136.58,57.37,3.822,51.64,21812,12,False,LOW
RD-20188,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-04-28,144.84,59.51,8.745,29.05,51448,65,False,MEDIUM
RD-20189,MCH-010,Conveyor System Main,Logistics,2016,8,2024-02-28,147.08,62.54,1.097,47.22,144945,32,False,LOW
RD-20190,MCH-001,Pipe Bending Line A,Production,2018,6,2024-07-01,113.4,79.37,1.59,40.08,108759,24,True,LOW
RD-20191,MCH-002,Hydraulic Press #1,Production,2015,9,2023-02-27,115.32,103.14,5.278,49.3,175828,59,True,MEDIUM
RD-20192,MCH-003,CNC Lathe Station 3,Machining,2019,5,2024-10-26,124.67,62.04,0.695,34.15,84876,20,True,LOW
RD-20193,MCH-004,Valve Assembly Robot,Assembly,2020,4,2023-03-25,129.89,41.5,2.644,54.85,80170,16,False,LOW
RD-20194,MCH-005,Quality Test Bench,QA,2017,7,2023-03-11,137.32,50.12,4.9,52.64,62709,28,False,LOW
RD-20195,MCH-006,Packaging Unit B,Logistics,2016,8,2023-02-01,120.37,76.44,5.456,53.22,59631,35,False,LOW
RD-20196,MCH-007,Hydraulic Press #2,Production,2014,10,2024-10-17,80.35,55.76,6.866,49.69,129484,60,True,MEDIUM
RD-20197,MCH-008,Welding Station Alpha,Production,2021,3,2024-02-03,107.76,68.9,4.153,41.73,98582,12,False,LOW
RD-20198,MCH-009,Cooling Circuit Pump,Utilities,2013,11,2024-10-08,168.11,59.54,1.549,55.62,75176,36,True,LOW
RD-20199,MCH-010,Conveyor System Main,Logistics,2016,8,2024-10-10,91.04,56.5,1.475,49.01,113238,36,False,LOW
RD-20200,MCH-001,Pipe Bending Line A,Production,2018,6,2024-09-28,155.42,63.41,5.358,51.25,47895,26,False,LOW
RD-20201,MCH-002,Hydraulic Press #1,Production,2015,9,2024-01-11,89.11,83.6,4.513,49.08,73344,41,True,MEDIUM
RD-20202,MCH-003,CNC Lathe Station 3,Machining,2019,5,2023-08-10,134.3,68.71,0.008,44.55,67412,20,False,LOW
RD-20203,MCH-004,Valve Assembly Robot,Assembly,2020,4,2024-11-02,97.24,68.52,2.721,54.95,29772,17,False,LOW
RD-20204,MCH-005,Quality Test Bench,QA,2017,7,2023-10-15,106.88,61.28,1.698,56.46,62160,28,False,LOW
RD-20205,MCH-006,Packaging Unit B,Logistics,2016,8,2023-07-24,100.67,67.66,4.819,38.78,46998,32,True,LOW
RD-20206,MCH-007,Hydraulic Press #2,Production,2014,10,2024-11-05,125.43,79.34,1.627,43.77,74652,36,False,LOW
RD-20207,MCH-008,Welding Station Alpha,Production,2021,3,2024-04-04,102.4,66.18,0.062,58.57,57318,12,False,LOW
