week_start,year_week,product_id,product_name,category,actual_demand,forecast,forecast_error,ape,month
2024-04-08,2024-W14,PIPE-001,Copper Pipe 15mm,Pipes,178,171,-7,0.0393258426966292,2024-04
2024-04-15,2024-W15,PIPE-001,Copper Pipe 15mm,Pipes,179,167,-12,0.0670391061452514,2024-04
2024-04-22,2024-W16,PIPE-001,Copper Pipe 15mm,Pipes,151,140,-11,0.0728476821192053,2024-04
2024-04-29,2024-W17,PIPE-001,Copper Pipe 15mm,Pipes,129,147,18,0.1395348837209302,2024-04
2024-05-06,2024-W18,PIPE-001,Copper Pipe 15mm,Pipes,174,194,20,0.1149425287356321,2024-05
2024-05-13,2024-W19,PIPE-001,Copper Pipe 15mm,Pipes,168,173,5,0.0297619047619047,2024-05
2024-05-20,2024-W20,PIPE-001,Copper Pipe 15mm,Pipes,167,190,23,0.1377245508982036,2024-05
2024-05-27,2024-W21,PIPE-001,Copper Pipe 15mm,Pipes,179,173,-6,0.0335195530726257,2024-05
2024-06-03,2024-W22,PIPE-001,Copper Pipe 15mm,Pipes,136,140,4,0.0294117647058823,2024-06
2024-06-10,2024-W23,PIPE-001,Copper Pipe 15mm,Pipes,127,131,4,0.0314960629921259,2024-06
2024-06-17,2024-W24,PIPE-001,Copper Pipe 15mm,Pipes,125,144,19,0.152,2024-06
2024-06-24,2024-W25,PIPE-001,Copper Pipe 15mm,Pipes,155,161,6,0.0387096774193548,2024-06
2024-07-01,2024-W26,PIPE-001,Copper Pipe 15mm,Pipes,163,179,16,0.0981595092024539,2024-07
2024-07-08,2024-W27,PIPE-001,Copper Pipe 15mm,Pipes,124,144,20,0.1612903225806451,2024-07
2024-07-15,2024-W28,PIPE-001,Copper Pipe 15mm,Pipes,125,124,-1,0.008,2024-07
2024-07-22,2024-W29,PIPE-001,Copper Pipe 15mm,Pipes,139,140,1,0.0071942446043165,2024-07
2024-07-29,2024-W30,PIPE-001,Copper Pipe 15mm,Pipes,136,158,22,0.1617647058823529,2024-07
2024-08-05,2024-W31,PIPE-001,Copper Pipe 15mm,Pipes,132,133,1,0.0075757575757575,2024-08
2024-08-12,2024-W32,PIPE-001,Copper Pipe 15mm,Pipes,128,109,-19,0.1484375,2024-08
2024-08-19,2024-W33,PIPE-001,Copper Pipe 15mm,Pipes,109,94,-15,0.1376146788990825,2024-08
2024-08-26,2024-W34,PIPE-001,Copper Pipe 15mm,Pipes,123,126,3,0.024390243902439,2024-08
2024-09-02,2024-W35,PIPE-001,Copper Pipe 15mm,Pipes,93,80,-13,0.1397849462365591,2024-09
2024-09-09,2024-W36,PIPE-001,Copper Pipe 15mm,Pipes,110,115,5,0.0454545454545454,2024-09
2024-09-16,2024-W37,PIPE-001,Copper Pipe 15mm,Pipes,96,86,-10,0.1041666666666666,2024-09
2024-09-23,2024-W38,PIPE-001,Copper Pipe 15mm,Pipes,119,140,21,0.1764705882352941,2024-09
2024-09-30,2024-W39,PIPE-001,Copper Pipe 15mm,Pipes,108,126,18,0.1666666666666666,2024-09
2024-10-07,2024-W40,PIPE-001,Copper Pipe 15mm,Pipes,103,110,7,0.0679611650485436,2024-10
2024-10-14,2024-W41,PIPE-001,Copper Pipe 15mm,Pipes,115,113,-2,0.017391304347826,2024-10
2024-10-21,2024-W42,PIPE-001,Copper Pipe 15mm,Pipes,91,95,4,0.0439560439560439,2024-10
2024-10-28,2024-W43,PIPE-001,Copper Pipe 15mm,Pipes,117,119,2,0.017094017094017,2024-10
2024-11-04,2024-W44,PIPE-001,Copper Pipe 15mm,Pipes,98,94,-4,0.0408163265306122,2024-11
2024-11-11,2024-W45,PIPE-001,Copper Pipe 15mm,Pipes,85,89,4,0.0470588235294117,2024-11
2024-11-18,2024-W46,PIPE-001,Copper Pipe 15mm,Pipes,118,129,11,0.0932203389830508,2024-11
2024-11-25,2024-W47,PIPE-001,Copper Pipe 15mm,Pipes,124,142,18,0.1451612903225806,2024-11
2024-12-02,2024-W48,PIPE-001,Copper Pipe 15mm,Pipes,129,118,-11,0.0852713178294573,2024-12
2024-12-09,2024-W49,PIPE-001,Copper Pipe 15mm,Pipes,135,143,8,0.0592592592592592,2024-12
2024-12-16,2024-W50,PIPE-001,Copper Pipe 15mm,Pipes,147,165,18,0.1224489795918367,2024-12
2024-12-23,2024-W51,PIPE-001,Copper Pipe 15mm,Pipes,125,136,11,0.088,2024-12
2024-12-30,2024-W52,PIPE-001,Copper Pipe 15mm,Pipes,139,151,12,0.0863309352517985,2024-12
2023-01-02,2023-W01,PIPE-002,Steel Pipe 22mm,Pipes,120,130,10,0.0833333333333333,2023-01
2023-01-09,2023-W02,PIPE-002,Steel Pipe 22mm,Pipes,94,90,-4,0.0425531914893617,2023-01
2023-01-16,2023-W03,PIPE-002,Steel Pipe 22mm,Pipes,105,99,-6,0.0571428571428571,2023-01
2023-01-23,2023-W04,PIPE-002,Steel Pipe 22mm,Pipes,117,109,-8,0.0683760683760683,2023-01
2023-01-30,2023-W05,PIPE-002,Steel Pipe 22mm,Pipes,103,102,-1,0.0097087378640776,2023-01
2023-02-06,2023-W06,PIPE-002,Steel Pipe 22mm,Pipes,128,125,-3,0.0234375,2023-02
2023-02-13,2023-W07,PIPE-002,Steel Pipe 22mm,Pipes,126,110,-16,0.1269841269841269,2023-02
2023-02-20,2023-W08,PIPE-002,Steel Pipe 22mm,Pipes,130,136,6,0.0461538461538461,2023-02
2023-02-27,2023-W09,PIPE-002,Steel Pipe 22mm,Pipes,118,116,-2,0.0169491525423728,2023-02
2023-03-06,2023-W10,PIPE-002,Steel Pipe 22mm,Pipes,131,133,2,0.015267175572519,2023-03
2023-03-13,2023-W11,PIPE-002,Steel Pipe 22mm,Pipes,139,141,2,0.014388489208633,2023-03
2023-03-20,2023-W12,PIPE-002,Steel Pipe 22mm,Pipes,124,115,-9,0.0725806451612903,2023-03
2023-03-27,2023-W13,PIPE-002,Steel Pipe 22mm,Pipes,149,135,-14,0.0939597315436241,2023-03
2023-04-03,2023-W14,PIPE-002,Steel Pipe 22mm,Pipes,137,125,-12,0.0875912408759124,2023-04
2023-04-10,2023-W15,PIPE-002,Steel Pipe 22mm,Pipes,131,132,1,0.0076335877862595,2023-04
2023-04-17,2023-W16,PIPE-002,Steel Pipe 22mm,Pipes,163,147,-16,0.0981595092024539,2023-04
2023-04-24,2023-W17,PIPE-002,Steel Pipe 22mm,Pipes,151,168,17,0.1125827814569536,2023-04
2023-05-01,2023-W18,PIPE-002,Steel Pipe 22mm,Pipes,141,138,-3,0.0212765957446808,2023-05
2023-05-08,2023-W19,PIPE-002,Steel Pipe 22mm,Pipes,152,137,-15,0.0986842105263157,2023-05
2023-05-15,2023-W20,PIPE-002,Steel Pipe 22mm,Pipes,136,140,4,0.0294117647058823,2023-05
2023-05-22,2023-W21,PIPE-002,Steel Pipe 22mm,Pipes,136,134,-2,0.0147058823529411,2023-05
2023-05-29,2023-W22,PIPE-002,Steel Pipe 22mm,Pipes,140,125,-15,0.1071428571428571,2023-05
2023-06-05,2023-W23,PIPE-002,Steel Pipe 22mm,Pipes,156,176,20,0.1282051282051282,2023-06
2023-06-12,2023-W24,PIPE-002,Steel Pipe 22mm,Pipes,156,161,5,0.032051282051282,2023-06
2023-06-19,2023-W25,PIPE-002,Steel Pipe 22mm,Pipes,123,123,0,0.0,2023-06
2023-06-26,2023-W26,PIPE-002,Steel Pipe 22mm,Pipes,167,146,-21,0.1257485029940119,2023-06
2023-07-03,2023-W27,PIPE-002,Steel Pipe 22mm,Pipes,127,135,8,0.0629921259842519,2023-07
2023-07-10,2023-W28,PIPE-002,Steel Pipe 22mm,Pipes,133,132,-1,0.0075187969924812,2023-07
2023-07-17,2023-W29,PIPE-002,Steel Pipe 22mm,Pipes,119,116,-3,0.0252100840336134,2023-07
2023-07-24,2023-W30,PIPE-002,Steel Pipe 22mm,Pipes,129,115,-14,0.1085271317829457,2023-07
2023-07-31,2023-W31,PIPE-002,Steel Pipe 22mm,Pipes,115,115,0,0.0,2023-07
2023-08-07,2023-W32,PIPE-002,Steel Pipe 22mm,Pipes,105,105,0,0.0,2023-08
2023-08-14,2023-W33,PIPE-002,Steel Pipe 22mm,Pipes,125,147,22,0.176,2023-08
2023-08-21,2023-W34,PIPE-002,Steel Pipe 22mm,Pipes,126,124,-2,0.0158730158730158,2023-08
2023-08-28,2023-W35,PIPE-002,Steel Pipe 22mm,Pipes,122,134,12,0.0983606557377049,2023-08
2023-09-04,2023-W36,PIPE-002,Steel Pipe 22mm,Pipes,100,112,12,0.12,2023-09
2023-09-11,2023-W37,PIPE-002,Steel Pipe 22mm,Pipes,91,87,-4,0.0439560439560439,2023-09
2023-09-18,2023-W38,PIPE-002,Steel Pipe 22mm,Pipes,119,124,5,0.042016806722689,2023-09
2023-09-25,2023-W39,PIPE-002,Steel Pipe 22mm,Pipes,116,112,-4,0.0344827586206896,2023-09
2023-10-02,2023-W40,PIPE-002,Steel Pipe 22mm,Pipes,83,72,-11,0.1325301204819277,2023-10
2023-10-09,2023-W41,PIPE-002,Steel Pipe 22mm,Pipes,112,131,19,0.1696428571428571,2023-10
2023-10-16,2023-W42,PIPE-002,Steel Pipe 22mm,Pipes,99,105,6,0.0606060606060606,2023-10
2023-10-23,2023-W43,PIPE-002,Steel Pipe 22mm,Pipes,111,106,-5,0.045045045045045,2023-10
2023-10-30,2023-W44,PIPE-002,Steel Pipe 22mm,Pipes,89,85,-4,0.0449438202247191,2023-10
2023-11-06,2023-W45,PIPE-002,Steel Pipe 22mm,Pipes,102,100,-2,0.0196078431372549,2023-11
2023-11-13,2023-W46,PIPE-002,Steel Pipe 22mm,Pipes,111,128,17,0.1531531531531531,2023-11
2023-11-20,2023-W47,PIPE-002,Steel Pipe 22mm,Pipes,131,113,-18,0.1374045801526717,2023-11
2023-11-27,2023-W48,PIPE-002,Steel Pipe 22mm,Pipes,141,162,21,0.1489361702127659,2023-11
2023-12-04,2023-W49,PIPE-002,Steel Pipe 22mm,Pipes,126,109,-17,0.1349206349206349,2023-12
2023-12-11,2023-W50,PIPE-002,Steel Pipe 22mm,Pipes,139,129,-10,0.0719424460431654,2023-12
2023-12-18,2023-W51,PIPE-002,Steel Pipe 22mm,Pipes,129,146,17,0.1317829457364341,2023-12
2023-12-25,2023-W52,PIPE-002,Steel Pipe 22mm,Pipes,129,128,-1,0.0077519379844961,2023-12
2024-01-01,2024-W00,PIPE-002,Steel Pipe 22mm,Pipes,153,132,-21,0.1372549019607843,2024-01
2024-01-08,2024-W01,PIPE-002,Steel Pipe 22mm,Pipes,145,124,-21,0.1448275862068965,2024-01
2024-01-15,2024-W02,PIPE-002,Steel Pipe 22mm,Pipes,159,171,12,0.0754716981132075,2024-01
2024-01-22,2024-W03,PIPE-002,Steel Pipe 22mm,Pipes,132,121,-11,0.0833333333333333,2024-01
2024-01-29,2024-W04,PIPE-002,Steel Pipe 22mm,Pipes,148,128,-20,0.1351351351351351,2024-01
2024-02-05,2024-W05,PIPE-002,Steel Pipe 22mm,Pipes,200,203,3,0.015,2024-02
2024-02-12,2024-W06,PIPE-002,Steel Pipe 22mm,Pipes,188,210,22,0.1170212765957446,2024-02
2024-02-19,2024-W07,PIPE-002,Steel Pipe 22mm,Pipes,175,149,-26,0.1485714285714285,2024-02
2024-02-26,2024-W08,PIPE-002,Steel Pipe 22mm,Pipes,187,201,14,0.0748663101604278,2024-02
2024-03-04,2024-W09,PIPE-002,Steel Pipe 22mm,Pipes,214,227,13,0.0607476635514018,2024-03
2024-03-11,2024-W10,PIPE-002,Steel Pipe 22mm,Pipes,149,143,-6,0.0402684563758389,2024-03
2024-03-18,2024-W11,PIPE-002,Steel Pipe 22mm,Pipes,181,176,-5,0.0276243093922651,2024-03
2024-03-25,2024-W12,PIPE-002,Steel Pipe 22mm,Pipes,175,161,-14,0.08,2024-03
2024-04-01,2024-W13,PIPE-002,Steel Pipe 22mm,Pipes,166,142,-24,0.144578313253012,2024-04
2024-04-08,2024-W14,PIPE-002,Steel Pipe 22mm,Pipes,235,224,-11,0.0468085106382978,2024-04
2024-04-15,2024-W15,PIPE-002,Steel Pipe 22mm,Pipes,207,225,18,0.0869565217391304,2024-04
2024-04-22,2024-W16,PIPE-002,Steel Pipe 22mm,Pipes,215,232,17,0.0790697674418604,2024-04
2024-04-29,2024-W17,PIPE-002,Steel Pipe 22mm,Pipes,185,173,-12,0.0648648648648648,2024-04
2024-05-06,2024-W18,PIPE-002,Steel Pipe 22mm,Pipes,187,210,23,0.1229946524064171,2024-05
2024-05-13,2024-W19,PIPE-002,Steel Pipe 22mm,Pipes,193,164,-29,0.1502590673575129,2024-05
2024-05-20,2024-W20,PIPE-002,Steel Pipe 22mm,Pipes,202,181,-21,0.1039603960396039,2024-05
2024-05-27,2024-W21,PIPE-002,Steel Pipe 22mm,Pipes,211,184,-27,0.1279620853080568,2024-05
2024-06-03,2024-W22,PIPE-002,Steel Pipe 22mm,Pipes,149,173,24,0.1610738255033557,2024-06
2024-06-10,2024-W23,PIPE-002,Steel Pipe 22mm,Pipes,195,215,20,0.1025641025641025,2024-06
2024-06-17,2024-W24,PIPE-002,Steel Pipe 22mm,Pipes,179,196,17,0.0949720670391061,2024-06
2024-06-24,2024-W25,PIPE-002,Steel Pipe 22mm,Pipes,213,225,12,0.056338028169014,2024-06
2024-07-01,2024-W26,PIPE-002,Steel Pipe 22mm,Pipes,186,196,10,0.053763440860215,2024-07
2024-07-08,2024-W27,PIPE-002,Steel Pipe 22mm,Pipes,169,184,15,0.0887573964497041,2024-07
2024-07-15,2024-W28,PIPE-002,Steel Pipe 22mm,Pipes,166,183,17,0.1024096385542168,2024-07
2024-07-22,2024-W29,PIPE-002,Steel Pipe 22mm,Pipes,161,141,-20,0.124223602484472,2024-07
2024-07-29,2024-W30,PIPE-002,Steel Pipe 22mm,Pipes,174,175,1,0.0057471264367816,2024-07
2024-08-05,2024-W31,PIPE-002,Steel Pipe 22mm,Pipes,165,164,-1,0.006060606060606,2024-08
2024-08-12,2024-W32,PIPE-002,Steel Pipe 22mm,Pipes,148,153,5,0.0337837837837837,2024-08
2024-08-19,2024-W33,PIPE-002,Steel Pipe 22mm,Pipes,140,147,7,0.05,2024-08
2024-08-26,2024-W34,PIPE-002,Steel Pipe 22mm,Pipes,149,167,18,0.1208053691275167,2024-08
2024-09-02,2024-W35,PIPE-002,Steel Pipe 22mm,Pipes,138,144,6,0.0434782608695652,2024-09
2024-09-09,2024-W36,PIPE-002,Steel Pipe 22mm,Pipes,119,107,-12,0.1008403361344537,2024-09
2024-09-16,2024-W37,PIPE-002,Steel Pipe 22mm,Pipes,116,105,-11,0.0948275862068965,2024-09
2024-09-23,2024-W38,PIPE-002,Steel Pipe 22mm,Pipes,128,136,8,0.0625,2024-09
2024-09-30,2024-W39,PIPE-002,Steel Pipe 22mm,Pipes,157,138,-19,0.1210191082802547,2024-09
2024-10-07,2024-W40,PIPE-002,Steel Pipe 22mm,Pipes,146,167,21,0.1438356164383561,2024-10
2024-10-14,2024-W41,PIPE-002,Steel Pipe 22mm,Pipes,110,110,0,0.0,2024-10
2024-10-21,2024-W42,PIPE-002,Steel Pipe 22mm,Pipes,119,116,-3,0.0252100840336134,2024-10
2024-10-28,2024-W43,PIPE-002,Steel Pipe 22mm,Pipes,142,157,15,0.1056338028169014,2024-10
2024-11-04,2024-W44,PIPE-002,Steel Pipe 22mm,Pipes,133,153,20,0.150375939849624,2024-11
2024-11-11,2024-W45,PIPE-002,Steel Pipe 22mm,Pipes,145,136,-9,0.0620689655172413,2024-11
2024-11-18,2024-W46,PIPE-002,Steel Pipe 22mm,Pipes,118,132,14,0.1186440677966101,2024-11
2024-11-25,2024-W47,PIPE-002,Steel Pipe 22mm,Pipes,140,134,-6,0.0428571428571428,2024-11
2024-12-02,2024-W48,PIPE-002,Steel Pipe 22mm,Pipes,156,149,-7,0.0448717948717948,2024-12
2024-12-09,2024-W49,PIPE-002,Steel Pipe 22mm,Pipes,173,181,8,0.0462427745664739,2024-12
2024-12-16,2024-W50,PIPE-002,Steel Pipe 22mm,Pipes,165,186,21,0.1272727272727272,2024-12
2024-12-23,2024-W51,PIPE-002,Steel Pipe 22mm,Pipes,161,160,-1,0.0062111801242236,2024-12
2024-12-30,2024-W52,PIPE-002,Steel Pipe 22mm,Pipes,132,112,-20,0.1515151515151515,2024-12
2023-01-02,2023-W01,VALV-001,"Ball Valve 1/2""",Valves,235,214,-21,0.0893617021276595,2023-01
2023-01-09,2023-W02,VALV-001,"Ball Valve 1/2""",Valves,265,262,-3,0.0113207547169811,2023-01
2023-01-16,2023-W03,VALV-001,"Ball Valve 1/2""",Valves,279,293,14,0.050179211469534,2023-01
2023-01-23,2023-W04,VALV-001,"Ball Valve 1/2""",Valves,248,243,-5,0.0201612903225806,2023-01
2023-01-30,2023-W05,VALV-001,"Ball Valve 1/2""",Valves,219,236,17,0.0776255707762557,2023-01
2023-02-06,2023-W06,VALV-001,"Ball Valve 1/2""",Valves,254,269,15,0.0590551181102362,2023-02
2023-02-13,2023-W07,VALV-001,"Ball Valve 1/2""",Valves,242,226,-16,0.0661157024793388,2023-02
2023-02-20,2023-W08,VALV-001,"Ball Valve 1/2""",Valves,310,341,31,0.1,2023-02
2023-02-27,2023-W09,VALV-001,"Ball Valve 1/2""",Valves,265,278,13,0.0490566037735849,2023-02
2023-03-06,2023-W10,VALV-001,"Ball Valve 1/2""",Valves,341,331,-10,0.0293255131964809,2023-03
2023-03-13,2023-W11,VALV-001,"Ball Valve 1/2""",Valves,323,347,24,0.0743034055727554,2023-03
2023-03-20,2023-W12,VALV-001,"Ball Valve 1/2""",Valves,314,320,6,0.019108280254777,2023-03
2023-03-27,2023-W13,VALV-001,"Ball Valve 1/2""",Valves,364,391,27,0.0741758241758241,2023-03
2023-04-03,2023-W14,VALV-001,"Ball Valve 1/2""",Valves,291,301,10,0.0343642611683848,2023-04
2023-04-10,2023-W15,VALV-001,"Ball Valve 1/2""",Valves,287,334,47,0.1637630662020905,2023-04
2023-04-17,2023-W16,VALV-001,"Ball Valve 1/2""",Valves,321,356,35,0.1090342679127725,2023-04
2023-04-24,2023-W17,VALV-001,"Ball Valve 1/2""",Valves,347,300,-47,0.1354466858789625,2023-04
2023-05-01,2023-W18,VALV-001,"Ball Valve 1/2""",Valves,246,212,-34,0.1382113821138211,2023-05
2023-05-08,2023-W19,VALV-001,"Ball Valve 1/2""",Valves,336,380,44,0.1309523809523809,2023-05
2023-05-15,2023-W20,VALV-001,"Ball Valve 1/2""",Valves,277,286,9,0.0324909747292418,2023-05
2023-05-22,2023-W21,VALV-001,"Ball Valve 1/2""",Valves,238,214,-24,0.1008403361344537,2023-05
2023-05-29,2023-W22,VALV-001,"Ball Valve 1/2""",Valves,339,301,-38,0.1120943952802359,2023-05
2023-06-05,2023-W23,VALV-001,"Ball Valve 1/2""",Valves,352,405,53,0.1505681818181818,2023-06
2023-06-12,2023-W24,VALV-001,"Ball Valve 1/2""",Valves,278,244,-34,0.1223021582733813,2023-06
2023-06-19,2023-W25,VALV-001,"Ball Valve 1/2""",Valves,312,326,14,0.0448717948717948,2023-06
2023-06-26,2023-W26,VALV-001,"Ball Valve 1/2""",Valves,336,318,-18,0.0535714285714285,2023-06
2023-07-03,2023-W27,VALV-001,"Ball Valve 1/2""",Valves,292,259,-33,0.1130136986301369,2023-07
2023-07-10,2023-W28,VALV-001,"Ball Valve 1/2""",Valves,283,290,7,0.0247349823321554,2023-07
2023-07-17,2023-W29,VALV-001,"Ball Valve 1/2""",Valves,305,296,-9,0.0295081967213114,2023-07
2023-07-24,2023-W30,VALV-001,"Ball Valve 1/2""",Valves,270,240,-30,0.1111111111111111,2023-07
2023-07-31,2023-W31,VALV-001,"Ball Valve 1/2""",Valves,280,240,-40,0.1428571428571428,2023-07
2023-08-07,2023-W32,VALV-001,"Ball Valve 1/2""",Valves,200,204,4,0.02,2023-08
2023-08-14,2023-W33,VALV-001,"Ball Valve 1/2""",Valves,270,292,22,0.0814814814814814,2023-08
2023-08-21,2023-W34,VALV-001,"Ball Valve 1/2""",Valves,195,206,11,0.0564102564102564,2023-08
