month,supplier_id,orders,on_time_rate,defect_rate,spend_eur
2023-05,SUP-008,12,0.75,0.0457,69100.84
2023-06,SUP-001,7,1.0,0.0211,51482.33
2023-06,SUP-002,3,0.6667,0.0085,13493.08
2023-06,SUP-003,6,1.0,0.0218,90635.37
2023-06,SUP-004,4,0.5,0.13,63992.9
2023-06,SUP-005,13,0.6923,0.0495,262871.4
2023-06,SUP-006,9,1.0,0.0206,92499.52
2023-06,SUP-007,5,0.4,0.0938,70196.57
2023-06,SUP-008,3,0.6667,0.0533,32319.36
2023-07,SUP-001,9,0.8889,0.0266,123389.45
2023-07,SUP-002,5,0.6,0.0581,60719.71
2023-07,SUP-003,4,1.0,0.007,41869.0
2023-07,SUP-004,8,0.75,0.0834,96670.13
2023-07,SUP-005,6,0.8333,0.0516,89466.83
2023-07,SUP-006,4,1.0,0.0194,68963.02
2023-07,SUP-007,3,0.3333,0.092,39431.78
2023-07,SUP-008,6,0.8333,0.0626,57951.39
2023-08,SUP-001,16,0.875,0.016,218972.39
2023-08,SUP-002,7,0.8571,0.0697,151282.5
2023-08,SUP-003,4,1.0,0.0106,73661.42
2023-08,SUP-004,5,0.6,0.1102,46127.31
2023-08,SUP-005,4,1.0,0.0501,41228.22
2023-08,SUP-006,4,1.0,0.0025,30005.45
2023-08,SUP-007,9,0.5556,0.0941,140920.88
2023-08,SUP-008,6,0.6667,0.0702,66928.99
2023-09,SUP-001,5,1.0,0.016,34563.72
2023-09,SUP-002,8,1.0,0.0356,104839.46
2023-09,SUP-003,5,1.0,0.0078,36736.14
2023-09,SUP-004,6,0.6667,0.115,68747.5
2023-09,SUP-005,8,0.625,0.0432,97885.18
2023-09,SUP-006,9,0.7778,0.0156,128645.09
2023-09,SUP-007,7,0.5714,0.0788,29375.64
2023-09,SUP-008,7,0.8571,0.0482,79805.3
2023-10,SUP-001,3,1.0,0.0286,40072.93
2023-10,SUP-002,8,0.875,0.0646,83518.86
2023-10,SUP-003,6,1.0,0.0226,69107.89
2023-10,SUP-004,8,0.375,0.1298,49023.49
2023-10,SUP-005,7,0.8571,0.0753,90822.99
2023-10,SUP-006,5,0.8,0.0099,51360.66
2023-10,SUP-007,8,0.625,0.0784,80554.41
2023-10,SUP-008,2,1.0,0.0505,8689.24
2023-11,SUP-001,5,0.8,0.0136,61790.77
2023-11,SUP-002,11,0.8182,0.049,130761.45
2023-11,SUP-003,5,1.0,0.0253,36438.52
2023-11,SUP-004,5,0.6,0.1026,48758.03
2023-11,SUP-005,6,0.8333,0.0506,86983.21
2023-11,SUP-006,2,1.0,0.0203,15664.26
2023-11,SUP-007,11,0.9091,0.1142,102182.1
2023-11,SUP-008,7,0.8571,0.06,103732.09
2023-12,SUP-001,4,0.75,0.0206,43557.23
2023-12,SUP-002,9,0.7778,0.0463,116543.61
2023-12,SUP-003,4,1.0,0.0248,47737.9
2023-12,SUP-004,13,0.4615,0.1045,182405.75
2023-12,SUP-005,10,0.9,0.0476,100472.74
2023-12,SUP-006,5,0.8,0.0151,53917.78
2023-12,SUP-007,4,0.25,0.1109,39856.44
2023-12,SUP-008,8,0.75,0.0529,70112.85
2024-01,SUP-001,8,1.0,0.0115,70857.05
2024-01,SUP-002,5,0.8,0.0322,72245.44
2024-01,SUP-003,5,0.8,0.021,58440.56
2024-01,SUP-004,11,0.6364,0.0994,148735.26
2024-01,SUP-005,4,1.0,0.074,93247.25
2024-01,SUP-006,14,0.8571,0.0222,103807.18
2024-01,SUP-007,4,0.25,0.1147,20734.55
2024-01,SUP-008,4,1.0,0.0546,72024.02
2024-02,SUP-001,5,0.8,0.0217,46743.96
2024-02,SUP-002,6,0.8333,0.0485,99497.64
2024-02,SUP-003,1,1.0,0.0102,26655.39
2024-02,SUP-004,5,0.4,0.1024,63735.02
2024-02,SUP-005,7,0.5714,0.0426,67683.35
2024-02,SUP-006,7,0.8571,0.0237,117986.3
2024-02,SUP-007,5,0.4,0.1487,62072.89
2024-02,SUP-008,1,1.0,0.0364,22432.54
2024-03,SUP-001,8,0.875,0.0207,92479.55
2024-03,SUP-002,5,0.8,0.0474,84324.31
2024-03,SUP-003,3,1.0,0.0241,34361.01
2024-03,SUP-004,6,0.5,0.1172,60102.41
2024-03,SUP-005,7,0.5714,0.0454,60020.2
2024-03,SUP-006,4,1.0,0.0077,44276.84
2024-03,SUP-007,5,0.4,0.115,89641.09
2024-03,SUP-008,10,0.9,0.0446,88646.76
2024-04,SUP-001,5,1.0,0.0259,72745.23
2024-04,SUP-002,3,1.0,0.037,17585.81
2024-04,SUP-003,6,1.0,0.0214,90956.71
2024-04,SUP-004,5,0.8,0.1035,74193.31
2024-04,SUP-005,8,0.75,0.0494,89541.86
2024-04,SUP-006,3,1.0,0.0096,19646.15
2024-04,SUP-007,3,1.0,0.1096,36028.02
2024-04,SUP-008,11,0.8182,0.0485,149544.64
2024-05,SUP-001,8,1.0,0.0121,84442.63
2024-05,SUP-002,11,0.7273,0.0374,145156.36
2024-05,SUP-003,7,1.0,0.0203,78958.24
2024-05,SUP-004,6,0.3333,0.1252,40034.66
2024-05,SUP-005,5,1.0,0.023,38961.65
2024-05,SUP-006,5,1.0,0.0214,20790.76
2024-05,SUP-007,7,0.7143,0.0995,113526.56
2024-05,SUP-008,2,0.5,0.0642,12766.74
2024-06,SUP-001,3,1.0,0.0196,35768.01
2024-06,SUP-002,4,0.75,0.0562,58987.89
2024-06,SUP-003,2,0.5,0.0167,40452.86
2024-06,SUP-004,7,0.5714,0.0978,48326.86
2024-06,SUP-005,3,0.6667,0.0817,33991.99
2024-06,SUP-006,5,0.6,0.0185,55250.76
2024-06,SUP-007,7,0.8571,0.0772,67361.5
2024-06,SUP-008,6,0.6667,0.0686,71130.13
2024-07,SUP-001,10,0.8,0.0219,95416.15
2024-07,SUP-002,9,0.4444,0.0544,102870.0
2024-07,SUP-003,3,1.0,0.0117,25754.0
2024-07,SUP-004,7,0.7143,0.1046,116104.81
2024-07,SUP-005,7,0.8571,0.0426,103715.92
2024-07,SUP-006,6,1.0,0.0201,73497.97
2024-07,SUP-007,7,0.8571,0.1324,62481.51
2024-07,SUP-008,11,0.8182,0.0368,77231.23
2024-08,SUP-001,10,0.8,0.0146,155420.15
2024-08,SUP-002,4,0.75,0.0446,25396.32
2024-08,SUP-003,7,1.0,0.0179,73925.7
2024-08,SUP-004,10,0.5,0.104,167722.5
2024-08,SUP-005,4,0.75,0.0293,50951.51
2024-08,SUP-006,5,0.8,0.0104,64676.69
2024-08,SUP-007,6,0.8333,0.1348,48715.89
2024-08,SUP-008,2,1.0,0.0534,15788.85
2024-09,SUP-001,4,1.0,0.0174,37508.26
2024-09,SUP-002,6,0.6667,0.0623,105424.95
2024-09,SUP-003,4,0.75,0.0071,38913.72
2024-09,SUP-004,7,0.7143,0.1088,55968.91
2024-09,SUP-005,4,1.0,0.0504,32879.14
2024-09,SUP-006,9,1.0,0.0211,111654.87
2024-09,SUP-007,6,0.8333,0.0903,85857.81
2024-09,SUP-008,3,0.6667,0.0267,58555.16
2024-10,SUP-001,7,0.8571,0.0199,96991.71
2024-10,SUP-002,8,0.625,0.0481,130070.15
2024-10,SUP-003,8,1.0,0.0126,90458.55
2024-10,SUP-004,6,0.6667,0.1072,63527.94
2024-10,SUP-005,6,1.0,0.0603,68553.87
2024-10,SUP-006,5,0.8,0.0218,78412.35
2024-10,SUP-007,4,0.5,0.1358,38057.02
2024-10,SUP-008,7,0.5714,0.0354,94984.24
2024-11,SUP-001,2,1.0,0.0306,26532.14
2024-11,SUP-002,6,1.0,0.0495,71430.06
2024-11,SUP-003,9,0.7778,0.0184,93349.0
2024-11,SUP-004,8,0.625,0.0896,89746.03
2024-11,SUP-005,6,1.0,0.0616,67919.97
2024-11,SUP-006,7,1.0,0.0114,83386.58
2024-11,SUP-007,6,0.6667,0.1409,72289.5
2024-11,SUP-008,12,1.0,0.0524,144354.51
2024-12,SUP-001,6,1.0,0.0137,37527.99
2024-12,SUP-002,11,0.8182,0.0583,133655.6
2024-12,SUP-003,10,1.0,0.0174,106596.18
2024-12,SUP-004,4,0.25,0.0759,44541.51
2024-12,SUP-005,5,0.6,0.0465,51724.88
2024-12,SUP-006,9,1.0,0.0116,143908.08
2024-12,SUP-007,9,0.4444,0.1125,104337.21
2024-12,SUP-008,3,1.0,0.0238,15489.04
